order_id,customer_id,email,first_name,created_at,financial_status,fulfillment_status,currency,subtotal_price,total_discounts,total_shipping_price,total_price,product_title,product_category,billing_city,billing_country,billing_country_code,source_name,source_medium,tags
#7077,CUST02709,customer2709@example.com,Customer2709,2023-10-01 00:00:00,paid,fulfilled,USD,26.34,3.95,0.0,22.39,Resistance Band Set,Sports & Fitness,London,United Kingdom,GB,organic,organic,
#4391,CUST01517,customer1517@example.com,Customer1517,2023-10-01 00:00:00,paid,unfulfilled,USD,57.97,0.0,9.99,67.96,Face Serum Vitamin C,Beauty & Skincare,Dubai,United Arab Emirates,AE,google,cpc,
#5430,CUST01980,customer1980@example.com,Customer1980,2023-10-01 00:00:00,paid,fulfilled,USD,49.21,7.38,6.99,48.82,Face Serum Vitamin C,Beauty & Skincare,Johannesburg,South Africa,ZA,facebook,cpc,
#2392,CUST00615,customer615@example.com,Customer615,2023-10-01 00:00:00,paid,fulfilled,USD,25.02,0.0,9.99,35.01,Lip Balm Set,Beauty & Skincare,Nairobi,Kenya,KE,direct,none,
#2893,CUST00837,customer837@example.com,Customer837,2023-10-01 00:00:00,paid,fulfilled,USD,25.62,0.0,0.0,25.62,Scented Soy Candle,Home & Living,Johannesburg,South Africa,ZA,google,cpc,
#3942,CUST01314,customer1314@example.com,Customer1314,2023-10-01 00:00:00,paid,fulfilled,USD,66.86,10.03,6.99,63.82,Printed Silk Scarf,Clothing & Apparel,Johannesburg,South Africa,ZA,organic,organic,
#2695,CUST00746,customer746@example.com,Customer746,2023-10-02 00:00:00,paid,fulfilled,USD,45.91,6.89,0.0,39.02,Hair Growth Oil 100ml,Beauty & Skincare,Accra,Ghana,GH,tiktok,social,
#2133,CUST00507,customer507@example.com,Customer507,2023-10-02 00:00:00,paid,fulfilled,USD,55.31,8.3,0.0,47.01,Portable Charger 10000mAh,Electronics,Dar es Salaam,Tanzania,TZ,google,cpc,
#3149,CUST00957,customer957@example.com,Customer957,2023-10-02 00:00:00,paid,fulfilled,USD,30.81,0.0,0.0,30.81,Linen Throw Pillow,Home & Living,Nairobi,Kenya,KE,instagram,social,
#5081,CUST01821,customer1821@example.com,Customer1821,2023-10-02 00:00:00,paid,fulfilled,USD,34.03,5.1,4.99,33.92,Oversized Cotton Tee,Clothing & Apparel,Nairobi,Kenya,KE,instagram,social,
#1962,CUST00431,customer431@example.com,Customer431,2023-10-02 00:00:00,paid,fulfilled,USD,48.29,0.0,0.0,48.29,Leather Belt,Clothing & Apparel,Dubai,United Arab Emirates,AE,instagram,social,
